,event_timestamp,driver_id,conv_rate,acc_rate,avg_daily_trips,created
0,2023-12-01 06:00:00+00:00,1005,0.8983114,0.9240261,433,2023-12-16 06:19:25.528
1,2023-12-01 07:00:00+00:00,1005,0.9006747,0.9211641,649,2023-12-16 06:19:25.528
2,2023-12-01 08:00:00+00:00,1005,0.72421026,0.10807986,96,2023-12-16 06:19:25.528
3,2023-12-01 09:00:00+00:00,1005,0.29684326,0.04609218,371,2023-12-16 06:19:25.528
4,2023-12-01 10:00:00+00:00,1005,0.37810516,0.06901063,345,2023-12-16 06:19:25.528
5,2023-12-01 11:00:00+00:00,1005,0.5843875,0.1887726,571,2023-12-16 06:19:25.528
6,2023-12-01 12:00:00+00:00,1005,0.76829606,0.19556235,117,2023-12-16 06:19:25.528
7,2023-12-01 13:00:00+00:00,1005,0.9862013,0.3915247,10,2023-12-16 06:19:25.528
8,2023-12-01 14:00:00+00:00,1005,0.4916408,0.24511324,242,2023-12-16 06:19:25.528
9,2023-12-01 15:00:00+00:00,1005,0.7636554,0.48407155,523,2023-12-16 06:19:25.528
10,2023-12-01 16:00:00+00:00,1005,0.5399706,0.6715269,469,2023-12-16 06:19:25.528
11,2023-12-01 17:00:00+00:00,1005,0.79054976,0.6342606,563,2023-12-16 06:19:25.528
12,2023-12-01 18:00:00+00:00,1005,0.14546078,0.3180203,743,2023-12-16 06:19:25.528
13,2023-12-01 19:00:00+00:00,1005,0.059672598,0.7146337,695,2023-12-16 06:19:25.528
14,2023-12-01 20:00:00+00:00,1005,0.60076076,0.26340914,856,2023-12-16 06:19:25.528
15,2023-12-01 21:00:00+00:00,1005,0.8029506,0.5465626,278,2023-12-16 06:19:25.528
16,2023-12-01 22:00:00+00:00,1005,0.45676687,0.3470735,405,2023-12-16 06:19:25.528
17,2023-12-01 23:00:00+00:00,1005,0.23019475,0.32739604,77,2023-12-16 06:19:25.528
18,2023-12-02 00:00:00+00:00,1005,0.39255545,0.5065304,11,2023-12-16 06:19:25.528
19,2023-12-02 01:00:00+00:00,1005,0.30022684,0.7444644,364,2023-12-16 06:19:25.528
20,2023-12-02 02:00:00+00:00,1005,0.5821471,0.0038236745,940,2023-12-16 06:19:25.528
21,2023-12-02 03:00:00+00:00,1005,0.7972426,0.41072664,17,2023-12-16 06:19:25.528
22,2023-12-02 04:00:00+00:00,1005,0.07865208,0.4571081,725,2023-12-16 06:19:25.528
23,2023-12-02 05:00:00+00:00,1005,0.5185434,0.3738886,268,2023-12-16 06:19:25.528
24,2023-12-02 06:00:00+00:00,1005,0.4525928,0.46121886,568,2023-12-16 06:19:25.528
25,2023-12-02 07:00:00+00:00,1005,0.854038,0.48945427,765,2023-12-16 06:19:25.528
26,2023-12-02 08:00:00+00:00,1005,0.45106652,0.3688946,540,2023-12-16 06:19:25.528
27,2023-12-02 09:00:00+00:00,1005,0.26000533,0.6245157,876,2023-12-16 06:19:25.528
28,2023-12-02 10:00:00+00:00,1005,0.4669125,0.52041054,241,2023-12-16 06:19:25.528
29,2023-12-02 11:00:00+00:00,1005,0.4187657,0.1909655,958,2023-12-16 06:19:25.528
30,2023-12-02 12:00:00+00:00,1005,0.07744597,0.18276167,295,2023-12-16 06:19:25.528
31,2023-12-02 13:00:00+00:00,1005,0.67228836,0.5877945,890,2023-12-16 06:19:25.528
32,2023-12-02 14:00:00+00:00,1005,0.72935975,0.024798896,352,2023-12-16 06:19:25.528
33,2023-12-02 15:00:00+00:00,1005,0.79223067,0.9698194,729,2023-12-16 06:19:25.528
34,2023-12-02 16:00:00+00:00,1005,0.3046189,0.5803817,122,2023-12-16 06:19:25.528
35,2023-12-02 17:00:00+00:00,1005,0.6054155,0.07567317,964,2023-12-16 06:19:25.528
36,2023-12-02 18:00:00+00:00,1005,0.40105915,0.01027169,275,2023-12-16 06:19:25.528
37,2023-12-02 19:00:00+00:00,1005,0.64089584,0.6957309,195,2023-12-16 06:19:25.528
38,2023-12-02 20:00:00+00:00,1005,0.6138921,0.25725007,137,2023-12-16 06:19:25.528
39,2023-12-02 21:00:00+00:00,1005,0.45060283,0.96676826,426,2023-12-16 06:19:25.528
40,2023-12-02 22:00:00+00:00,1005,0.8760104,0.84228027,674,2023-12-16 06:19:25.528
41,2023-12-02 23:00:00+00:00,1005,0.8815207,0.5346494,624,2023-12-16 06:19:25.528
42,2023-12-03 00:00:00+00:00,1005,0.07990004,0.5387859,40,2023-12-16 06:19:25.528
43,2023-12-03 01:00:00+00:00,1005,0.81070423,0.617998,190,2023-12-16 06:19:25.528
44,2023-12-03 02:00:00+00:00,1005,0.83217585,0.009205597,686,2023-12-16 06:19:25.528
45,2023-12-03 03:00:00+00:00,1005,0.609099,0.63104844,701,2023-12-16 06:19:25.528
46,2023-12-03 04:00:00+00:00,1005,0.22442484,0.7923321,198,2023-12-16 06:19:25.528
47,2023-12-03 05:00:00+00:00,1005,0.8227466,0.97460437,483,2023-12-16 06:19:25.528
48,2023-12-03 06:00:00+00:00,1005,0.7560316,0.44209036,302,2023-12-16 06:19:25.528
49,2023-12-03 07:00:00+00:00,1005,0.7518739,0.31156465,444,2023-12-16 06:19:25.528
50,2023-12-03 08:00:00+00:00,1005,0.35023537,0.84217376,481,2023-12-16 06:19:25.528
51,2023-12-03 09:00:00+00:00,1005,0.4262975,0.22828686,323,2023-12-16 06:19:25.528
52,2023-12-03 10:00:00+00:00,1005,0.7417896,0.9155466,146,2023-12-16 06:19:25.528
53,2023-12-03 11:00:00+00:00,1005,0.36682954,0.063169114,298,2023-12-16 06:19:25.528
54,2023-12-03 12:00:00+00:00,1005,0.6951759,0.21151827,398,2023-12-16 06:19:25.528
55,2023-12-03 13:00:00+00:00,1005,0.617286,0.7175664,215,2023-12-16 06:19:25.528
56,2023-12-03 14:00:00+00:00,1005,0.93927556,0.6691875,666,2023-12-16 06:19:25.528
57,2023-12-03 15:00:00+00:00,1005,0.3267689,0.99335724,742,2023-12-16 06:19:25.528
58,2023-12-03 16:00:00+00:00,1005,0.9227799,0.9217301,569,2023-12-16 06:19:25.528
59,2023-12-03 17:00:00+00:00,1005,0.49600184,0.5742949,923,2023-12-16 06:19:25.528
60,2023-12-03 18:00:00+00:00,1005,0.9701488,0.751408,749,2023-12-16 06:19:25.528
61,2023-12-03 19:00:00+00:00,1005,0.0140864365,0.077217765,651,2023-12-16 06:19:25.528
62,2023-12-03 20:00:00+00:00,1005,0.5072906,0.29600033,255,2023-12-16 06:19:25.528
63,2023-12-03 21:00:00+00:00,1005,0.45378837,0.07618715,998,2023-12-16 06:19:25.528
64,2023-12-03 22:00:00+00:00,1005,0.6310773,0.2862381,170,2023-12-16 06:19:25.528
